    HandType, Income Rate, Error, SD, Iteration
Q4s, 0.1411, 0.0004462, 3.087, 1
Q5o, -0.2637, -0.0008338, 2.475, 1
Q5s, 0.1797, 0.0005682, 3.123, 1
Q6o, -0.2327, -0.0007360, 2.526, 1
Q6s, 0.1941, 0.0006138, 3.140, 1
Q7o, -0.1864, -0.0005895, 2.601, 1
Q7s, 0.2191, 0.0006928, 3.167, 1
Q8o, -0.08615, -0.0002724, 2.760, 1
Q8s, 0.3215, 0.001017, 3.287, 1
Q9o, 0.05597, 0.0001770, 2.958, 1
Q9s, 0.4528, 0.001432, 3.426, 1
QJo, 0.3313, 0.001048, 3.280, 1
QJs, 0.7130, 0.002255, 3.667, 1
QQ, 1.214, 0.003840, 4.130, 1
QTo, 0.2919, 0.0009230, 3.234, 1
QTs, 0.6768, 0.002140, 3.632, 1
T2o, -0.4083, -0.001291, 2.251, 1
T2s, -0.02841, -8.985e-05, 2.878, 1
T3o, -0.3981, -0.001259, 2.253, 1
T3s, -0.01013, -3.202e-05, 2.895, 1
T4o, -0.3760, -0.001189, 2.280, 1
T4s, 0.004437, 1.403e-05, 2.901, 1
T5o, -0.3594, -0.001137, 2.299, 1
T5s, 0.03512, 0.0001111, 2.933, 1
T6o, -0.2474, -0.0007823, 2.494, 1
T6s, 0.1374, 0.0004344, 3.067, 1
T7o, -0.1255, -0.0003969, 2.696, 1
T7s, 0.2480, 0.0007843, 3.201, 1
T8o, 0.001863, 5.891e-06, 2.878, 1
T8s, 0.3522, 0.001114, 3.318, 1
T9o, 0.1231, 0.0003892, 3.040, 1
T9s, 0.4823, 0.001525, 3.452, 1
TT, 0.7200, 0.002277, 3.741, 1
HandType, Income Rate, Error, SD, Iteration
32o, -0.4539, -0.001435, 2.202, 2
22, 0.2107, 0.0006664, 3.253, 2
32s, -0.09456, -0.0002990, 2.817, 2
33, 0.1869, 0.0005909, 3.218, 2
42o, -0.3971, -0.001256, 2.303, 2
42s, -0.05256, -0.0001662, 2.867, 2
43o, -0.3171, -0.001003, 2.438, 2
43s, 0.02855, 9.029e-05, 2.972, 2
44, 0.2367, 0.0007485, 3.272, 2
52o, -0.3776, -0.001194, 2.328, 2
52s, -0.01269, -4.013e-05, 2.913, 2
53o, -0.2639, -0.0008346, 2.517, 2
53s, 0.08893, 0.0002812, 3.038, 2
54o, -0.1704, -0.0005389, 2.659, 2
54s, 0.1750, 0.0005535, 3.140, 2
55, 0.2376, 0.0007514, 3.263, 2
62o, -0.4530, -0.001433, 2.189, 2
62s, -0.08424, -0.0002664, 2.820, 2
63s, -0.0003692, -1.167e-06, 2.927, 2
63o, -0.3455, -0.001093, 2.385, 2
64o, -0.2405, -0.0007605, 2.549, 2
64s, 0.1122, 0.0003547, 3.067, 2
65o, -0.1544, -0.0004883, 2.681, 2
65s, 0.1921, 0.0006073, 3.155, 2
66, 0.2931, 0.0009269, 3.326, 2
72o, -0.5224, -0.001652, 2.033, 2
72s, -0.1483, -0.0004689, 2.718, 2
73o, -0.4294, -0.001358, 2.220, 2
74o, -0.3003, -0.0009498, 2.443, 2
73s, -0.05819, -0.0001840, 2.842, 2
74s, 0.05572, 0.0001762, 2.991, 2
75o, -0.2193, -0.0006936, 2.579, 2
75s, 0.1425, 0.0004506, 3.097, 2
76o, -0.1150, -0.0003637, 2.735, 2
76s, 0.2392, 0.0007563, 3.208, 2
77, 0.3509, 0.001110, 3.390, 2
82o, -0.5064, -0.001601, 2.066, 2
82s, -0.1279, -0.0004044, 2.752, 2
83o, -0.4764, -0.001507, 2.115, 2
83s, -0.1054, -0.0003333, 2.771, 2
84o, -0.3888, -0.001229, 2.281, 2
84s, -0.01608, -5.086e-05, 2.896, 2
85o, -0.2678, -0.0008470, 2.485, 2
85s, 0.1044, 0.0003300, 3.042, 2
86o, -0.1551, -0.0004904, 2.673, 2
86s, 0.1818, 0.0005748, 3.138, 2
87o, -0.07624, -0.0002411, 2.789, 2
